Compare C:\Projects\Marilo\docs\component-specs with C:\Projects\blazor-docs\components
4/14/2026 9:30:23 AM
Filename,Folder,Comparison Result,Left Date,Right Date,Extension,Differences,Prediffer
hierarchical-data.md,dropdowntree\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
load-on-demand.md,dropdowntree\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,dropdowntree\data-binding,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,dropdowntree,Text files are different,* 3/30/2026 2:12:01 PM,  3/29/2026 7:36:44 PM,md,1,
overview.md,dropdowntree,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,dropzone,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,editor\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
integration-with-aiprompt.md,editor\ai-integration,Text files are different,* 3/30/2026 2:27:29 PM,  3/29/2026 7:36:44 PM,md,1,
integration-with-inline-prompt.md,editor\ai-integration,Text files are different,* 3/30/2026 2:27:29 PM,  3/29/2026 7:36:44 PM,md,1,
create-new-schema.md,editor\prosemirror-schema,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
modify-default-schema.md,editor\prosemirror-schema,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
built-in-tools.md,editor,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,5,
custom-tools.md,editor,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,6,
overview.md,editor,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,13,
paste-cleanup.md,editor,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
prosemirror-plugins.md,editor,Text files are different,* 4/12/2026 12:07:52 PM,  3/29/2026 7:36:44 PM,md,1,
toolbar.md,editor,Text files are different,* 4/12/2026 12:07:52 PM,  3/29/2026 7:36:44 PM,md,6,
wai-aria-support.md,filemanager\accessibility,Text files are different,* 3/30/2026 2:05:01 PM,  3/29/2026 7:36:44 PM,md,7,
overview.md,filemanager\data-binding,Text files are different,* 3/30/2026 2:12:19 PM,  3/29/2026 7:36:44 PM,md,2,
events.md,filemanager,Text files are different,* 4/11/2026 9:03:05 AM,  3/29/2026 7:36:44 PM,md,3,
overview.md,filemanager,Text files are different,* 4/13/2026 12:16:51 PM,  3/29/2026 7:36:44 PM,md,3,
toolbar.md,filemanager,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
events.md,fileselect,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
overview.md,fileselect,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,2,
validation.md,fileselect,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
wai-aria-support.md,filter\accessibility,Text files are different,* 3/30/2026 9:08:30 AM,  3/29/2026 7:36:44 PM,md,1,
overview.md,filter\fields,Text files are different,* 3/30/2026 9:08:31 AM,  3/29/2026 7:36:44 PM,md,1,
